county_name,year,county_per_poverty,median_household_income,county_per_bach
COLUMBIA,2014,0.10008796481407436,58625,0.1422187171398528
COLUMBIA,2015,0.11362649730685746,59105,0.14441446776776118
COLUMBIA,2016,0.12293889427740058,59916,0.15090420065163673
CORTLAND,2009,0.13566494492501088,44853,0.1508931044032124
CORTLAND,2010,0.13158214025721912,45338,0.14962775857484711
CORTLAND,2011,0.13929734430937885,45956,0.14142115530866647
CORTLAND,2012,0.1387580126584838,47497,0.1389391894116485
CORTLAND,2013,0.135799963467354,47151,0.13706970315276773
CORTLAND,2014,0.12538847474152465,48404,0.13174718249522177
CORTLAND,2015,0.13610505066982037,49514,0.13400302015626026
CORTLAND,2016,0.12746084207501077,50910,0.14133350781914544
DELAWARE,2009,0.1467939559250119,41656,0.10529261770010573
DELAWARE,2010,0.1291995022812111,42967,0.10995832224882504
DELAWARE,2011,0.13598452546849976,43554,0.10483632273722844
DELAWARE,2012,0.13918204426239786,43004,0.1082423629495226
DELAWARE,2013,0.13577309384936093,44470,0.1145879898673819
DELAWARE,2014,0.12894140567096543,44183,0.11569925983638489
DELAWARE,2015,0.14496492612097822,43720,0.1146062009442757
DELAWARE,2016,0.15032271944922548,46055,0.12266496846191169
DUTCHESS,2009,0.07502044923285431,68472,0.18077652935123759
DUTCHESS,2010,0.07898308976471542,69838,0.18161807691330098
DUTCHESS,2011,0.086685846342498707,71125,0.18019878988676652
DUTCHESS,2012,0.0857644530106865,71508,0.1818346209099768
DUTCHESS,2013,0.08458731946802966,72525,0.18010261631679295
DUTCHESS,2014,0.08339610206195273,72471,0.18356712829581354
DUTCHESS,2015,0.08833454574846428,71904,0.18314771844588143
DUTCHESS,2016,0.08638583329109005,72706,0.1867016631555058
ERIE,2009,0.1347079413695034,46609,0.16120865201148044
ERIE,2010,0.13619271343310155,47372,0.16420489954833695
ERIE,2011,0.13766127296094222,48805,0.16585154520073167
ERIE,2012,0.1374749603607013,49977,0.16794681169464099
ERIE,2013,0.14157283813626623,50653,0.17056564551945558
ERIE,2014,0.14298344509685085,51050,0.17159892767514454
ERIE,2015,0.1461776680150697,51247,0.17338356887813414
ERIE,2016,0.14322508022196462,52744,0.17797271872060208
ESSEX,2009,0.11785799034988267,44930,0.14969028332661363
ESSEX,2010,0.11982443677694338,45216,0.1494228677683051
ESSEX,2011,0.11360113829814264,46629,0.1457963446475196
ESSEX,2012,0.11569869495535373,47400,0.13622151195108392
ESSEX,2013,0.11081901942267935,47380,0.13142521345362784
ESSEX,2014,0.10644451269451269,50322,0.13371251292657704
ESSEX,2015,0.1000719572368421,52758,0.13416698331548585
ESSEX,2016,0.09425358826882221,53244,0.1363385718224428
FRANKLIN,2009,0.13068249493786477,40587,0.09042369962108164
FRANKLIN,2010,0.12397237750739888,42050,0.09386687663451534
FRANKLIN,2011,0.14799559088008354,43673,0.091712922931020055
FRANKLIN,2012,0.15435800224380053,45702,0.09297179192694473
FRANKLIN,2013,0.16918879170214413,45667,0.08644645977202763
FRANKLIN,2014,0.17474955346742255,47110,0.09115125280945642
FRANKLIN,2015,0.1796606864274571,47923,0.08954347096341055
FRANKLIN,2016,0.1706824553492658,49782,0.09193764666443179
FULTON,2009,0.1606549035997892,41425,0.08871599394287505
FULTON,2010,0.1653963277294268,43240,0.08746318019740582
FULTON,2011,0.1600548182342758,45289,0.0890545718131925
FULTON,2012,0.159868492358828,45333,0.08341718915292722
FULTON,2013,0.1567841928759177,44276,0.08413839297215138
FULTON,2014,0.15768179332968835,45722,0.08627896176273285
FULTON,2015,0.16664835366076988,46969,0.08736462093862817
FULTON,2016,0.16319501998268782,46090,0.09548050337218016
GENESEE,2009,0.10862768004398021,48197,0.10500062980224209
GENESEE,2010,0.11554243394715773,49750,0.12245695445109293
GENESEE,2011,0.12271954107327486,50861,0.12729218347195875
GENESEE,2012,0.1158821176156821,51734,0.12755546943125667
GENESEE,2013,0.1247327632282202,49922,0.1264967168791039
GENESEE,2014,0.12463569059662993,50573,0.12466020351704395
GENESEE,2015,0.13031047125702178,50880,0.12013206092153461
GENESEE,2016,0.12268640035222597,52641,0.1254312528649666
GREENE,2009,0.110472580546555,46213,0.10921977402805373
GREENE,2010,0.1217364905889496,46235,0.10796915167095116
GREENE,2011,0.13365653779057973,47033,0.10538655077767613
GREENE,2012,0.13580473107772484,47539,0.10797194790324889
GREENE,2013,0.1406352190974493,49655,0.11232556148511744
GREENE,2014,0.1294993623760747,49864,0.11622750916687985
GREENE,2015,0.12032207319092565,50278,0.1218092506885488
GREENE,2016,0.12120077388753667,51013,0.11843833895013423
HAMILTON,2009,0.1261225304330473,45242,0.14412585638162903
HAMILTON,2010,0.0943357783211084,49557,0.13819226750261232
HAMILTON,2011,0.09425051334702259,51142,0.12920168067226892
HAMILTON,2012,0.08810754912099276,51595,0.13365155131264916
HAMILTON,2013,0.09391232079783919,51522,0.13069094804499196
HAMILTON,2014,0.09429228517666736,52939,0.12438758845944475
HAMILTON,2015,0.12794117647058822,48243,0.13818386914833616
HAMILTON,2016,0.11198637428145625,52708,0.10825174825174826
HERKIMER,2009,0.1168980925383174,42048,0.10834454912516824
HERKIMER,2010,0.125629546726357,42318,0.10842174316284751
HERKIMER,2011,0.14342542810081735,42680,0.10932802929276948
HERKIMER,2012,0.1426909654905002,44288,0.11993986177183377
HERKIMER,2013,0.14665983733780344,45047,0.12114088700830591
HERKIMER,2014,0.15580842232896516,45649,0.12620335255705406
HERKIMER,2015,0.14281475466158602,46229,0.1311972336985809
HERKIMER,2016,0.13748072626577298,48893,0.12620371626203716
JEFFERSON,2009,0.14138356222628512,43447,0.10925871213719945
JEFFERSON,2010,0.13942069540884164,43410,0.11753172180050979
JEFFERSON,2011,0.1439439025021347,45559,0.12146841570798614
JEFFERSON,2012,0.14430267239832154,46549,0.11798178536491272
JEFFERSON,2013,0.14712931830308368,46484,0.11924637601956471
JEFFERSON,2014,0.14229717794507296,48613,0.11794058224518299
JEFFERSON,2015,0.1423995561048198,49505,0.11785163333243119
JEFFERSON,2016,0.1376328772697218,49911,0.11735330836454431
KINGS,2009,0.21586752503801998,42894,0.17690439284263118
KINGS,2010,0.21827425366327466,43567,0.17954581379419357
KINGS,2011,0.2196045322046129,44593,0.1811529166835254
KINGS,2012,0.2251581938441701,45215,0.1827298070343837
KINGS,2013,0.22969545895347998,46085,0.18751230959913698
KINGS,2014,0.23165192482809832,46958,0.19363844476595377
KINGS,2015,0.23019051277733746,48201,0.20073955130277066
KINGS,2016,0.22537451301416422,50640,0.2067970770287878
LEWIS,2009,0.1583285632512879,41719,0.08383919367770015
LEWIS,2010,0.14424251397268387,42846,0.08375013893520063
LEWIS,2011,0.13407552613085771,44281,0.08257943512797881
LEWIS,2012,0.13313871849826325,45187,0.0757434689742045
LEWIS,2013,0.13361369337464954,46840,0.07753879662401307
LEWIS,2014,0.13072448829332942,46990,0.07989592931866225
LEWIS,2015,0.11937767290960036,49819,0.08702702702702703
LEWIS,2016,0.13834065001660087,49976,0.08447809626825312
LIVINGSTON,2009,0.11017700516133118,51698,0.1298787492022974
LIVINGSTON,2010,0.10721107562537248,51690,0.134882181938503
LIVINGSTON,2011,0.10603025066144646,53231,0.13115839243498817
LIVINGSTON,2012,0.10477650847197731,54244,0.139062536859239
LIVINGSTON,2013,0.12174474165347919,53518,0.1404842011152154
LIVINGSTON,2014,0.13325728028119074,52200,0.13162735849056603
LIVINGSTON,2015,0.13396398203731424,51734,0.12969491844121656
LIVINGSTON,2016,0.13493856581350006,52724,0.13293916144623544
MADISON,2009,0.08944008702124005,51670,0.13190446203670386
MADISON,2010,0.09056484695487535,53345,0.13765303715774352
MADISON,2011,0.09296571709770901,53473,0.14307212954916382
MADISON,2012,0.09988078435671513,52293,0.1411268200042203
MADISON,2013,0.10398275649034171,53589,0.1478885135135135
MADISON,2014,0.10354594327040739,53584,0.15136737224896474
MADISON,2015,0.11294130641887694,54145,0.1478198773418466
MADISON,2016,0.11003065654954293,55858,0.14987606604209552
